label,t,r,accepted_rows,scoreable_rows_in_local_snapshot,representative_sha256,submission_id,polynomial_index
24T12,12,0,14,14,9862bbcb97cb66d2e67bbcf7dbe87ad55a65a3dc26f172b9e3359177c2da25c4,sub_90bbfa2694e645a09eb7e69957b4e11e,391
24T12,12,24,7,7,f42beab0ac4976d1f0efbdded2e6c2ce97cff90527fa0888db765cf976751dd7,sub_90bbfa2694e645a09eb7e69957b4e11e,166
24T13,13,0,7,7,909d9dd7ca94390db2b45888d85674296f984dc1bdded7f931cef08baf2dab51,sub_90bbfa2694e645a09eb7e69957b4e11e,327
24T13,13,24,6,6,ba85fe1a68e888342e014ed85e044b651b38a11ecd0793e6f33e128b027ca190,sub_90bbfa2694e645a09eb7e69957b4e11e,165
24T14,14,0,80,80,79ec0ad00a8d72c0215e66aa6d68d44ebd4bd95b7071d6186f84d8489e9f47da,sub_90bbfa2694e645a09eb7e69957b4e11e,86
24T14,14,24,24,24,e27e3665c895b4b6bfb0c5983b762d9445bf1cdb475a9f43c2d2dbb9b67c8157,sub_ceb4105427054c16a985d54432b836f0,55
24T15,15,0,6,6,87332ee2611f8ecef507c71dc728bd74b3c8b0cd140434b427004e5c06d8137a,sub_eb178058299c4003b1fa276a2f16867b,17
24T15,15,24,1,1,514a0dacf70a5f6623670b6dd61774173c13b47496a8db9e050a95a1bd8c2ce3,sub_26668c5006fd4ec4af829001d8634a13,332
24T16,16,0,1,0,7a5146834c14c5a90a4378bf6f03b7db55e966acd6019c81c75221797c49018e,sub_54b458ee3c4e4b99b9f4d1a6d160eaae,72
24T16,16,24,1,0,751a03776f75445814c6da416d6c936b5731932eece705fad0cdbf855db1121e,sub_0e2ca948cae4424394397fdebdf3c9d6,64
24T17,17,0,2,0,b42cac7a68552fed2c6aef99665a68fa6016d483c645d41411bca5ea9449636c,sub_2fe8e857d8fa4920ad52292814c7bcd1,4
24T17,17,12,5,0,6b7daacf3c765eec1067f978022f751cf4b1593276beed03cf36b2152747bcb7,sub_efc20936063a4dfdb4c09638c305f955,103
24T17,17,24,13,3,874f0e2463a2c4833203f7e86edb0884c7ca3d36ffaa5d1b147af68a58636846,sub_3c24aea00e824020b1c3ca74205400ad,3
24T18,18,0,35,32,8293ce4a5d1704127db1000720b7ea95ed297909b781c18a7831d768fc24cd3a,sub_1f94daf26b3b4f4e8f2bdb7dc23e315a,899
24T18,18,12,2,2,fafc9682bfaa73e9574c8378c042fdb1938df002d035f18b215803afaa23655b,sub_ceb4105427054c16a985d54432b836f0,22
24T18,18,24,1,0,5c801a9b25b4e6423e31e1b762a9d14c8ce1e6b47066f2986ca11ca5d56c7f6b,sub_cd16694f4b774909b0418fc63fa3df34,158
24T19,19,0,1,0,4cb58ee8cadab3ec745198d643694d9fdc7a34f7a1ac903f3be14a33264bc362,sub_a163cffb89b242cd9ef868a04854b53a,182
24T20,20,0,1,1,c3a2d5b1e9c3d0d877d67c0189c9dc56f56ea9d675d16800895a557f7bbe3bd1,sub_b97d316041334d9fa21535acbae1482d,420
24T21,21,4,2,0,3b0fc3104e2af221fc1315522187813fec1542f58624f00f4143382b81f8eed0,sub_c1e60dd19ec5498eb57e8aeb627f3c26,701
24T21,21,24,1,0,694a881f5c9c240a3d10a5b7a81fcb3f5993d5ec4afb490ced6172141b9702e0,sub_27c259df45a04a678b4dfcc016202217,623
24T22,22,2,1,0,5473c65b395544ab417b4410e2a874bc026f2d8f9b118913459796cd9e776a37,sub_03b7c50579754ecd92fec8202d02008d,579
24T23,23,0,1,0,3de3e7feb6a11b8be75a08a11e715d2467d6a78374965ff110b96b4a8a7bd6bb,sub_742df67dd709468a8e909afb00d20309,2
24T23,23,4,1,0,72c14cee45eed66030533946a667d0ffb72428f3d4e13af0e56dbf16cd1408a1,sub_742df67dd709468a8e909afb00d20309,1
24T23,23,24,1,0,154d849fd405ac5e3d485948c74e5738dfd7d65faa8fa7c8939f3596005ff595,sub_61559b1448b545c28cf08f55c8306861,157
24T24,24,4,1,0,7e3f350d61d8fbe33f1dd035eceb82f71b17a1a285ac39911e208463002fc3dc,sub_54b458ee3c4e4b99b9f4d1a6d160eaae,783
24T24,24,24,1,0,709746d5f80f816afc88961ce42ff6f19e75cd069d9a6b90d6d31e6a938d4c1a,sub_bc20c5a0e78f48d7a9bbecb5e74a2db9,77
24T25,25,0,2,0,a358907e21720719b2a159ada9bb76a099e40c325c4ba97d04cbda7a11d0f14e,sub_fcdc8c9aef6c4e649761fc3bdf26f1ce,44
24T25,25,24,3,0,73e0e7223d5377149ae627c3c181ffb4ece2d1aef6f22778335394d99993b7de,sub_bc20c5a0e78f48d7a9bbecb5e74a2db9,715
24T26,26,8,1,0,7a6b217df4f9a1a9211c309b8f95ea1f1de819fe4d715d46e20f8dd6fa0768ee,sub_54b458ee3c4e4b99b9f4d1a6d160eaae,99
24T26,26,24,1,0,0f96542e41324cd8d1aa6408658a37d057cd80206cf68a523b900597ebb7a607,sub_96ac8a3bfd2a4437bdad74b208811454,30
24T27,27,0,11,5,5cf7340be770a38cf2c1cc1e0a31859a0437eacd87b6ce1c3fb94e7d9b2667dc,sub_437674a4d1394d9a817bd0c0f7159821,7
24T27,27,8,1,0,296e9c69a898125d47a84fdf3f1a4689832f9838201bef38ab0675a9cfe4e5dd,sub_7705eed62fad4e3ba21c8533649693a6,195
24T27,27,24,4,3,d4c9a405cc99f87c256ce99e1da3d31dd68e53502d5808f4c977ed5ba693323c,sub_e2cc372b64514a4a873f811493d2192e,88
24T28,28,0,2,0,3d041b48751e06e2e05b333697cd75195395265af71cf9344c9253d5fdd04bb2,sub_9c34e1df2a8c490290dbfacdf0ee87e3,136
24T28,28,4,1,0,81a0d89eb5663235e62a462690f2a074927c64d78185852b6dc549b3762ebff5,sub_b932e12c4ccb4d77903f817e416c2cd1,507
24T28,28,24,2,0,5f6e6ce1fd26b21a4281f1c17b73cc1fb81a5574caa915a38a026488acd027f8,sub_cd16694f4b774909b0418fc63fa3df34,673
24T29,29,0,1,0,6e0bd0e42ca4d66467a2013785e2d3f92a0169540abf28d365c9062a31cf15d4,sub_efc20936063a4dfdb4c09638c305f955,531
24T29,29,24,4,0,47125fa986d049c0cc2ff5a7161056cdb2820fe5beebb21fb8f800acf094a326,sub_3ae781c6cc3a4f2ea4e89890e6096c83,131
24T30,30,0,32,0,42d7937b6d12b675473d6184a2c5b1fa9f70c2c5654bd07f2e3639f9d18d2a3a,sub_73cbd1e8ecbb4bc4ada9f287ac97442e,282
24T30,30,24,15,1,024b8fce8d861abacee9df665bc934bd7d241e97b6348f699beabad1e49420f7,sub_56765733a7ce451aa8afbeee75eaf7cd,53
24T31,31,4,1,0,7cd62fc7316a410e71705c03743e2cb22bb898ef25f479743888e65c70b7e0b2,sub_54b458ee3c4e4b99b9f4d1a6d160eaae,551
24T31,31,24,1,0,3bf42336afd4a5a02d0eb9ee0543eaea6c3c06f37cc150617f223c1015346a85,sub_c1e60dd19ec5498eb57e8aeb627f3c26,865
24T32,32,0,3,0,97dc015452c820c8d34ff90e65919ea7eb3e4127423bb63c06ce27880bc91576,sub_c22242da7e6b4977b16ca2af3bcef4a1,0
24T32,32,8,2,0,728a7c65aa5d849f4ce5619a6136ce484247e8e3eee19715c193faeb89a4898b,sub_bc20c5a0e78f48d7a9bbecb5e74a2db9,479
24T32,32,24,2,0,2c8db5df7ae0ebee2d2198f89fe9b2509f4e3a7509f3bb8c9eee848238facba9,sub_7705eed62fad4e3ba21c8533649693a6,757
24T33,33,4,1,0,584c69fb5514908bb124e4ab6a58d5fb374c694b6a2e6e6797b50b7104e2d01c,sub_2228b2bc12e745de8f5326b91b980748,380
24T33,33,24,1,0,2ebdeb4cffd7926d188d55e67dad4cc4fa5e0d1ec06c13e905fbcbea864c9c5a,sub_8dea57f79b2841c2b1e46038e76597ae,240
24T34,34,0,12,0,00ed8fff7ac069d83428c569442b473d7e124f0203197638416a84898b3bff03,sub_2f1b282016f9485c8f64e868b81a371a,171
24T34,34,2,40,0,170ba9909ddff54124a2c465fb3fe733d984754a8a0fb1dfc1a9069a22ff2f77,sub_61559b1448b545c28cf08f55c8306861,508
24T34,34,24,1,0,54be7f7c921e975e580995d14568f834150522d28325b2fd02787986dc9334c9,sub_03b7c50579754ecd92fec8202d02008d,634
24T35,35,2,1,0,7320b7c3842e44eed167ddccd987349cf7dc8f37e0cef84f0c20d4f8f74e9823,sub_c22242da7e6b4977b16ca2af3bcef4a1,1
24T35,35,24,1,0,5befedf98c0169e665c01a7e98b2846238de83781f06be40026305ecc930a9b8,sub_c22242da7e6b4977b16ca2af3bcef4a1,2
24T36,36,2,1,0,42d0fd5011bcb657c83499b347fe466dec53a13c2e2f07b20e0f2b4ea3a6b369,sub_73cbd1e8ecbb4bc4ada9f287ac97442e,278
24T37,37,0,1,0,65584428ef866b1c4455e018310fc3c97df6f911a87889319a5f73d11be9fab1,sub_b8b6dc8939c74f23a6cdb6118d45b225,804
24T37,37,24,1,0,4e8c85e482a69a0e0344cc8f3437ed85f61299eacd03454c631cf232c2e12e5f,sub_a163cffb89b242cd9ef868a04854b53a,490
24T38,38,0,314,55,d3b7f4d85b79eb81196a18bee815fa8f66293673ef77a7b7611dc6392ccdd6af,sub_02be20573fd043289b468a3bcb19bbe8,418
24T38,38,12,2,2,fd96fa3862a3845fd7a0818d3f6b508e16eae7e50528799dd06eca30a8ffd325,sub_5d609a731c0945f380c90817d2380290,17
24T38,38,24,24,0,0a0ce3f136b15a59572c3fb2733d9fbf7b38b7e020ecfa33e0513e6e4fb1e7bf,sub_baf7e415263c460ebb43ed34c19dc49e,809
24T39,39,0,2,0,db2f5e13672692a5d734ab6f5018b9934e421694ee9366143c7671900559ccae,sub_047129300078450bb2508f4f1cbfd9e3,4
24T39,39,12,4,0,999894b2ebab5a2d7aeca03c286a36e3beef89077e67c9670b28387566e6d469,sub_5d609a731c0945f380c90817d2380290,5
24T39,39,24,1,0,016062c38e4073de8bc854cae0dfba868609cd0040658393690270f60ff41a88,sub_2f1b282016f9485c8f64e868b81a371a,243
24T40,40,24,3,1,992f373fa12d722164646723ef7d229d68c95bbee71fd36a5e21d5bed7d07da0,sub_e9efe5cfab9549dab47662c8a3a19018,17
24T41,41,24,1,0,6b78ae110ef8b5bd716c249e984982cc92d5712e378574e60266689dbe19189d,sub_efc20936063a4dfdb4c09638c305f955,99
24T42,42,6,1,0,06d249b3bc0f00aff4cfd02ff1d6c36a05e0e65f72962f9263117a9505b4a098,sub_baf7e415263c460ebb43ed34c19dc49e,274
24T44,44,0,32,8,3904b34285420f53cb81abc8e50421191608c1ebc109f00a71fcb6268941e124,sub_90bbfa2694e645a09eb7e69957b4e11e,104
24T44,44,12,10,6,e660f911ca2d7e4600e3c2eba30e39913f9da4272d8134ded3c7998fcc5ddc77,sub_90bbfa2694e645a09eb7e69957b4e11e,302
24T44,44,24,13,7,2abebda29a889cc1807971a892048586a8e5671e7bbc58e96274bd01a58b1270,sub_90bbfa2694e645a09eb7e69957b4e11e,129
24T45,45,0,51,2,a745f1f3a3c8ca0964fce601c8403cb21a287d839db6f5f1c07ec90e3ec24b26,sub_b483a6015e5544568bccbe5e792d939d,39
24T45,45,12,38,38,3bdded37615f57fd4d7bc2e379f7fe011c1c859e019e13b4a9f79076fa297de2,sub_5d609a731c0945f380c90817d2380290,40
24T45,45,24,3,2,07bfbf444e137220c9c792c644b0d2bc4732998bb337d399fd654d4f166afe25,sub_ceb4105427054c16a985d54432b836f0,52
24T46,46,24,7,0,acc509b26694ba50b0250214404dde327f24f32a3f2f9c0ebb611437cfd1e91a,sub_fe58c20c0c004006973b708221846f74,942
24T47,47,0,33,1,df6713e2dd8e8c44928e6f430f08c78ec3686e3c44948ef82c9445bc20789a9a,sub_3b36cde6bccc4a019a422d853a6c4353,75
24T47,47,8,34,34,43ab7eee870e37150eb84f81f5c3f94bcd85f0627e67ec87fa22abad70c96e0d,sub_90bbfa2694e645a09eb7e69957b4e11e,274
24T47,47,24,13,0,9be15d95005e26c7e62aa4442a4d0605a5061d7f0bf63bf8c205255938ce3809,sub_ceb4105427054c16a985d54432b836f0,326
24T48,48,0,7,5,1e232510d45f93606d81306c3b3f3a117f5112b17cef1f952acbf0f7e893f2ff,sub_68f5e3a709ce4268ace433ae59fdfeb3,7
24T48,48,24,8,0,c035cdfc43dcff10d871aed33d8f7e3f7fb881635d000e49e1c638b4f2642bf7,sub_7ff08c310d994daa9f59be719c3e21bc,602
24T49,49,0,40,0,59ce160ec5acc454c85e53caace5bfff1d8ecbe97cfa573d348cacac00a2c32e,sub_2228b2bc12e745de8f5326b91b980748,636
24T49,49,8,19,0,ec4c49d40444921d19ed00ac7c7e51358be58d4931953a0dcd4f70cf3c8b5ac5,sub_1d9f80f96490484fb939365198780e02,0
24T49,49,24,45,1,6f5d258afdf7917bd247c80dccde757cb8374f51b1968cfa00aac85f7e9e5d24,sub_8fa7033677a64b3988908f963cf3444e,93
24T50,50,0,15,0,0a8bd403e91150601328179b7e502426a697e687ca62926f86b596a0e64d36d6,sub_78e938b3d43a41caa5464f735b39de1c,19
24T50,50,8,1,1,b83845b973de8d2aba3dc7eb0fa38ab471e7d3fe0016d01aec6b39c51cdcda04,sub_8fa7033677a64b3988908f963cf3444e,880
24T50,50,24,3,1,564f09e11bf5d47bc2ccfac65a8c8e5ccb10a8657a9fef53e9e1c6d100e42aef,sub_e2cc372b64514a4a873f811493d2192e,23
24T51,51,8,1,0,2a02cd799ce04218e459a0b64c37bcd517d142a9513e5039d6c7ce63aa4a3061,sub_7705eed62fad4e3ba21c8533649693a6,288
24T51,51,24,1,0,3c103c7d9f81dd54694dea62ef60821ae66dd06b20ab180d7abc0dcb2219cfd9,sub_c1e60dd19ec5498eb57e8aeb627f3c26,880
24T52,52,0,34,15,bb3112180d29e59b2eec7f5f2fb815d8bcb83497b4c57842ff5897bb18308107,sub_5151add0c52a4b4399701742d6d92aca,384
24T52,52,12,27,27,d325aa8c0562f9a35ed84aae8f43fcca12b68e788fee5b3dd98ec0133f03857c,sub_90bbfa2694e645a09eb7e69957b4e11e,18
24T52,52,24,2,0,49bbeef218220477757cbba38eed9435fc25121efc4d86243a0b1776449b9e26,sub_3ae781c6cc3a4f2ea4e89890e6096c83,567
24T53,53,0,140,138,5cb651603224c488b44f33981a96af3f2925308b31acbbb089f32b66e5449503,sub_01b8aec7263642168f7c06c83a2d469b,228
24T53,53,24,3,1,0458b911f63041bc83594fb9ca115705574bc461651e045343ac76044b9e80b3,sub_e2cc372b64514a4a873f811493d2192e,77
24T54,54,0,14,13,702029c2fcbcf611ce73c9563e5999bb80d73155e6949de0ea9dfc9cf3da3346,sub_3eccf244c63f41bd832c596c199d5acf,772
24T54,54,4,18,17,775c975e2e91981f129e1a8dbb7e54636bec7e0f1b744fae257b2895220b4b07,sub_09d4504cb0364c788d1a10a78271e96c,129
24T54,54,24,2,0,4c490a48ac296f2736ac0d8f771b1d9d97a152b3f04a6d7bc5c23d7ce9406fef,sub_a163cffb89b242cd9ef868a04854b53a,113
24T55,55,8,10,0,15990cd976d67fe97df4187b59920a16d6bddf478bc30f19433634ef1d7adbe0,sub_61559b1448b545c28cf08f55c8306861,224
24T55,55,24,9,2,e2698d2b629059786f94ddea0a6aee8ccb892ca2072cda41093a975758909a50,sub_87a07f9c2ad8449ca8fa4890ae25b20a,544
24T56,56,0,23,0,faf8e5788d8034efbf80099d0642eaec58b1caaa222ebf98939fce5fd20eae71,sub_b3c665db734347c4bcec8512409480e4,809
24T56,56,8,25,25,82683aedb54e91d5d310742d9829382efcba11c3eaee483b17196a4ac0b54427,sub_5d609a731c0945f380c90817d2380290,2
24T56,56,24,16,4,997e962985e692f77c0d8ebb68de8c75d562b04bd87d5274735ac82e884fa31c,sub_8a20afdb77de4b888f0e84d32087b954,949
24T57,57,0,18,0,0f474c5f1a67e1844ea8ae78f648ee1db27da179537b4fdaeb6a90908cd41589,sub_90bbfa2694e645a09eb7e69957b4e11e,321
24T57,57,8,12,12,571599c9c337a29c8844acd078f19976358634f951999222462255e42ba5876e,sub_90bbfa2694e645a09eb7e69957b4e11e,137
24T57,57,24,6,0,0e3b14b42eb393e4fcd47cfea2bc4ffbf6167efdaae500a4510f521b4cab3551,sub_7899cea75602417e8335511f3fc5199b,672
24T58,58,8,3,0,64086e02e7d7a0c23c88d5dd2cdb19bd1d9528be4d8861a185c0fccbf2a89de6,sub_35db166ea18a4ddf85f1a7e0b450969c,76
24T58,58,24,9,0,287defe2e4b7979ad67afcdb5219b68216d23ef10ff83c2334adb5c6a89c9556,sub_7705eed62fad4e3ba21c8533649693a6,5
24T59,59,0,4,0,258d8857bff430eef64a7e052065a46d794559c585618127afbb8407ffaea230,sub_ac3d7c2af6104721887b1976a5df0317,376
24T59,59,24,2,0,0839b5d49bcd9a3e18a1197eb578ec11fb932ca4e79d120a9a35342d9fa1ccb6,sub_baf7e415263c460ebb43ed34c19dc49e,513
24T60,60,0,1,0,7d58e3f4163e7e7355b066784e1ce5a4093f29420396abf5837a1194a96d229a,sub_54b458ee3c4e4b99b9f4d1a6d160eaae,627
24T60,60,24,1,0,811ab71d2278ab2fbcb23bcfe7c0453f92d5313a8580a8051f0ea60e076a3b47,sub_b932e12c4ccb4d77903f817e416c2cd1,418
24T62,62,24,1,0,325b41b4eabd96624ed3daab01beb833f06f9d2da106c9b0a564d171584b6100,sub_8b422374c8224c7c86ae2cb667c15a24,8
24T63,63,0,1,0,80458c85b7cd5aa2de88e45c308f4389003de70952485f01119404359be0dafd,sub_b932e12c4ccb4d77903f817e416c2cd1,251
24T63,63,24,2,0,7c21170d2f83deee9707ac059bc00f07b081a5a52bc12fe3b39665ad06ad0656,sub_54b458ee3c4e4b99b9f4d1a6d160eaae,408
24T64,64,24,3,2,c5de2191c97f107f9432ac3c6f4d2fcfa2bf93950237f73d950e18b78547d659,sub_ceb4105427054c16a985d54432b836f0,291
24T65,65,0,16,0,77950c32168133f2ef67af4880eba41c9849ae1f2014d7a79ffcebcb0afc2f0c,sub_0e2ca948cae4424394397fdebdf3c9d6,522
24T65,65,24,21,8,0d2316f4992a5ef8638a46b9b6b4dace784124e67ca5a260b3123717cc2801b0,sub_3c24aea00e824020b1c3ca74205400ad,139
24T66,66,0,2,0,1a2793b7b20cea6486d9dbc21b3f6813934582fef63a9b1089080d55292d616d,sub_dde3e89ddc284cba9cbdc032575e38a8,156
24T66,66,24,2,0,2955629debe62a12d4a0a0ce236d08da3a2fea734fadcb5377b6f24ef3c8dd0f,sub_7705eed62fad4e3ba21c8533649693a6,165
24T67,67,0,4,0,543ec172d67af4cb7384458bb115d043e073c42594d57f13e86c8115530efcda,sub_03b7c50579754ecd92fec8202d02008d,529
24T67,67,24,20,6,a871551e222e53840074bc36f046ad11c9bac34329fb6426c6e897b9116faaef,sub_5fe54829f67b49798b7a84fdecb5401c,420
24T68,68,0,36,1,604e6b17b38c490c3dbe2927ade8c2d8bf3cddd483d6bd7e9c21de479b1ebdbe,sub_b483a6015e5544568bccbe5e792d939d,47
24T68,68,24,15,8,7f23f4a8d0a193e6cc560fe2cd5e346dee15d2fd866933788e33b55fb8a41d85,sub_f245c5732c0643d6a7bd0914a13bc00e,260
24T69,69,0,19,17,2fc5055531e9fe752dbad6e13a350ef6306625b1a0711dc9497cefd94c94463b,sub_602eee1ab5f24d71aee8c452bb702f1c,329
24T69,69,24,6,2,24a447b162e0dd870b3b0109538acdba98d989d2cae8d93e9601c91e014f5a42,sub_5226f84f5f37433aa4173180628d572f,935
24T70,70,0,2,0,13c4b0acee0dbca3b5c400c58d71f1cc00c6a6436264debf10c9fceb1aa92234,sub_96ac8a3bfd2a4437bdad74b208811454,772
24T71,71,0,1,0,6ae0fe27675e4f1c1fa3a91118f9989baa9301a63f4d9d36b08ac844dbe1e510,sub_efc20936063a4dfdb4c09638c305f955,1
24T71,71,24,3,0,7c173ca050f37fb242213eff503845cf1212268e1b67784327dce74f98950ad2,sub_54b458ee3c4e4b99b9f4d1a6d160eaae,398
24T72,72,0,1,0,7e74e62c94d1095e86a9694a11e7ed5d3affc58855e436952abeac0d408140bd,sub_54b458ee3c4e4b99b9f4d1a6d160eaae,824
24T72,72,24,2,0,31a700eed40865488c13a9bfcd0c95443ab54a257adce6aa54112d813f855cd4,sub_8dea57f79b2841c2b1e46038e76597ae,794
24T73,73,0,2,0,56443a41a378ad590b95d70f3bd5aad1ff622960de4a124a37e88be6f3dc4b48,sub_f245c5732c0643d6a7bd0914a13bc00e,55
24T73,73,24,2,1,9b35646fbc179ac1ac4bbe0bbb0fa625701a8aead08b4a45ca358292b7247908,sub_5d609a731c0945f380c90817d2380290,187
24T74,74,0,1,0,209db387ef5b37a41b87ae589a52e4f00a139de5fe898686d06873cf135d23d8,sub_d112c6298e0647e283373c72eba52414,373
24T74,74,24,1,0,1f76304023c1f825e654e71e4acb1fd630ab0b7b9e1df616e273d8269caa264b,sub_d112c6298e0647e283373c72eba52414,182
24T75,75,0,1,0,642fc73ce3d4c347b9d1ddabcc5693ce784c14eb21b31394c1669bc3b31edab6,sub_b8b6dc8939c74f23a6cdb6118d45b225,606
24T76,76,0,2,1,938e1a8c07a603c854becb5bde9ad349acb0d64dc0de4291524529d7ef60288a,sub_2fe8e857d8fa4920ad52292814c7bcd1,62
24T76,76,24,1,1,1094b8e8c3ec4efdd4a2e460b6ac82c2b28688a7dce865f4d44a09574d8af231,sub_3c24aea00e824020b1c3ca74205400ad,55
24T77,77,0,6,0,d5ae19dc98b031e7e2c97c035aa48fabad14c48678464b009f69f21f293fe556,sub_65b0569835364333b9d87a5f8118adf3,51
24T77,77,24,5,4,928455128460292ff36c497808d282c0372b94083d4a3b77210f65d413169fe0,sub_1f7aa0c119a84d83b90404c912d035b0,139
24T78,78,0,23,0,4c79e67c761d53023380f956dd0ecf80ad2b0c543ea8917398122d302fcfb3e2,sub_a163cffb89b242cd9ef868a04854b53a,151
24T78,78,24,1,0,810438ff17348ff0b7efbf43790fcd63819b64edee6e20ff7761861b7190372b,sub_b932e12c4ccb4d77903f817e416c2cd1,399
24T79,79,0,2,0,4b20677ac442483e252624f26c5b4f9ccd7dbe5ce91095dc4089810fa175e596,sub_3ae781c6cc3a4f2ea4e89890e6096c83,820
24T79,79,24,1,0,7cb11ab563c236bfec18f8e6c1cba35330b1dc7ee5654a0842d27e6f8e3b6a79,sub_54b458ee3c4e4b99b9f4d1a6d160eaae,520
24T80,80,0,3,0,4130d13592ff3733ab6df047391dc91e596aa1d706d8efcaf6aaf8cdcb655203,sub_73cbd1e8ecbb4bc4ada9f287ac97442e,1
24T80,80,24,1,0,4bf3a4925a2ed03be33ba726a3ab657e57c8e780389ca21fccb85b4e73a6b38d,sub_a163cffb89b242cd9ef868a04854b53a,52
24T81,81,24,1,0,045e70f85bbc17f32eee18c181671bb1c627ae6a3f6286124bc17760be5a4e47,sub_2f1b282016f9485c8f64e868b81a371a,717
24T85,85,8,2,0,7ae1cb1e9f92ecc751539c5cf6bad04c6cbafc1a83177df5d91bee0a2a7afb0f,sub_f064afbd15644a85ad33a2b926955a8d,47
24T85,85,16,1,1,cdce68b759a652bc254aa07bc8b2155578f4d82c7c8eeb3dcb48d34140bf5f84,sub_d7e91f36f0b9465fa99c89d616e1ca73,73
24T86,86,8,2,0,07345cd29dfb87850f480a5cdb80591fb3866345de205006b50f0d79220d0e45,sub_baf7e415263c460ebb43ed34c19dc49e,339
24T86,86,24,1,0,29694bb555017ecf04efbf2ee306b100ded4cf6b83adc22e99cb51802386bdd5,sub_7705eed62fad4e3ba21c8533649693a6,187
24T87,87,0,2,1,7317bd3d162998cce665b71a79abc105e62bea825371044e28d34324484cf7cb,sub_14c67686db7d40ab96b885452fe1f137,0
24T87,87,8,4,4,7be2642d2930ab789ff67377c1b5c706c43249dd72112f3f26a4cf88be0921af,sub_d3d3adf119854de89da31ad5d536670c,2
24T87,87,16,4,4,e18fe4eec32040a0ef74a4aac54bd06c77cf7f868014c8cb9564f5ee925b48b9,sub_d3d3adf119854de89da31ad5d536670c,9
24T87,87,24,2,1,b824acf69213f3bb5aba2f26bb15633cc280696a8333e4749a0f1dc2955a3c80,sub_14c67686db7d40ab96b885452fe1f137,17
24T88,88,0,1,0,0583794214b397eb9ac03c13ad50f0e67a4640a95ab27844ec3189a164721b0e,sub_baf7e415263c460ebb43ed34c19dc49e,33
24T89,89,8,1,0,2e40b5e156bc5bd0d59f5ee15ff1eeec28692fc9c6309024e1c029dbf9587b9d,sub_8dea57f79b2841c2b1e46038e76597ae,156
24T89,89,16,2,2,8e776b37b1397d61ef7a92e939ae8e53f67c9aee70d0f4ba9a519b48d6724fc3,sub_9cf670c085d9469cbbd728c1ea9d65e0,3
24T90,90,24,1,0,28486d07b056bbda0d4fc434ef8bd715022704032d60209c62d784adfe6ae227,sub_ac3d7c2af6104721887b1976a5df0317,872
24T91,91,0,1,1,4b01f8f3a0e35ac7a5152ecd2e1753f0ede5154aa01ea30da47346c8c654f529,sub_404966c4e5e14081b1e1f41f895a44f5,175
