label,r
24T10727,20
24T10921,0
24T11026,8
24T11053,16
24T11090,8
24T11210,0
24T11215,12
24T11221,8
24T11279,8
24T11281,24
24T11282,24
24T11312,0
24T11312,24
24T11342,0
24T11344,4
24T11463,2
24T11495,0
24T11549,0
24T11549,4
24T11583,0
24T11721,8
24T11815,4
24T11837,8
24T11937,0
24T11943,0
24T12466,0
24T12766,2
24T12766,6
24T12820,0
24T12847,12
24T12963,16
24T13053,8
24T13135,2
24T13179,16
24T13187,4
24T13286,0
24T13286,24
24T13287,0
24T13287,24
24T13288,0
24T13288,24
24T13431,4
24T13435,8
24T13536,0
24T13631,0
24T13657,0
24T13696,4
24T13696,8
24T13818,10
24T13820,6
24T13952,4
24T13952,16
24T13952,24
24T14219,20
24T14328,0
24T14813,0
24T14815,2
24T14837,4
24T14837,8
24T14976,0
24T14976,4
24T14979,0
24T14982,0
24T14982,4
24T14982,8
24T15008,6
24T15048,2
24T15056,0
24T15056,8
24T15218,0
24T15253,6
24T15337,4
24T15342,8
24T15366,0
24T15366,8
24T15425,0
24T15425,8
24T15537,8
24T15548,6
24T15571,0
24T15571,12
24T15587,4
24T15587,8
24T15630,2
24T15796,0
24T15807,4
24T15825,24
24T15838,4
24T15895,8
24T15904,0
24T15966,6
24T15999,0
24T15999,24
24T16250,12
24T16260,0
24T16723,0
24T16723,4
24T16786,0
24T16786,2
24T16786,4
24T16786,6
24T16786,12
24T16786,16
24T16818,6
24T16875,8
24T16953,4
24T16953,8
24T17037,0
24T17108,0
24T17121,4
24T17234,12
24T17307,0
24T17312,12
24T17416,0
24T17418,12
24T17635,6
24T17678,16
24T17709,0
24T17781,4
24T17800,6
24T18669,0
24T18675,16
24T18682,8
24T18683,4
24T18683,6
24T18683,20
24T18845,0
24T18934,4
24T18936,16
24T18968,0
24T18968,12
24T19007,24
24T19013,16
24T19068,8
24T19068,16
24T19172,0
24T19277,6
24T19318,8
24T19318,16
24T19334,4
24T19447,6
24T19528,0
24T19594,20
24T19595,20
24T19595,24
24T19669,0
24T19793,18
24T19989,2
24T20003,12
24T20022,8
24T20022,12
24T20058,8
24T20063,0
24T20063,12
24T20063,16
24T20615,0
24T20615,4
24T20615,20
24T20615,24
24T20765,4
24T20767,0
24T20767,6
24T20827,0
24T20965,8
24T21456,0
24T21629,4
24T21629,20
24T21630,4
24T21630,20
24T21631,4
24T21635,4
24T21635,20
24T21913,0
24T21913,4
24T22544,8
24T22544,12
24T22544,16
24T22548,4
24T22548,8
24T22548,12
24T22548,16
24T22548,20
24T22806,0
24T24926,2
24T24984,12
